date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:04	44540/44540	---M-Z	200	added ('OK')	text/html	etag:%226548fc925555a76a8d3b5b67ac2ff266-ssl-df%22	https://igbokwefrancis.netlify.com/	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/index.html	(from )
14:26:05	2785/2785	---MC-	404	error ('Not%20Found')	text/html	etag:1564312823-ssl	https://igbokwefrancis.netlify.com/robots.txt		(from )
14:26:05	1092/1092	---M--	200	added ('OK')	image/png	etag:%228eace0609f5e06077f086e2f90472659-ssl%22	https://igbokwefrancis.netlify.com/assets/img/favicon.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/favicon.png	(from https://igbokwefrancis.netlify.com/)
14:26:06	1677/1677	---M--	200	added ('OK')	image/png	etag:%22b291135c44d92a70cba17b783187f1dc-ssl%22	https://igbokwefrancis.netlify.com/assets/img/favicon_60x60.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/favicon_60x60.png	(from https://igbokwefrancis.netlify.com/)
14:26:06	1952/1952	---M--	200	added ('OK')	image/png	etag:%2295bbf3099a65e60e2362d1e4e2ab41a0-ssl%22	https://igbokwefrancis.netlify.com/assets/img/favicon_76x76.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/favicon_76x76.png	(from https://igbokwefrancis.netlify.com/)
14:26:07	3028/3028	---M--	200	added ('OK')	image/png	etag:%220ba091f0bb446e758cf8ba99fad3548d-ssl%22	https://igbokwefrancis.netlify.com/assets/img/favicon_120x120.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/favicon_120x120.png	(from https://igbokwefrancis.netlify.com/)
14:26:07	4171/4171	---M--	200	added ('OK')	image/png	etag:%2234167ca0a62a3ac69bba866b1569af63-ssl%22	https://igbokwefrancis.netlify.com/assets/img/favicon_152x152.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/favicon_152x152.png	(from https://igbokwefrancis.netlify.com/)
14:26:08	150996/150996	---M-Z	200	added ('OK')	text/css	etag:%22c2986da2239276454cb820843be30e25-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/bootstrap/dist/css/bootstrap.min.css	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/bootstrap/dist/css/bootstrap.min.css	(from https://igbokwefrancis.netlify.com/)
14:26:08	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%22865f3599c64fa35fb870667ef31315de-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/animate.css/animate.min.css	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/animate.css/animate.min.css	(from https://igbokwefrancis.netlify.com/)
14:26:08	1729/1729	---M-Z	200	added ('OK')	text/css	etag:%224146209313485e1a3bf698dbb61bbcc4-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/slick-carousel/slick/slick.css	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/slick-carousel/slick/slick.css	(from https://igbokwefrancis.netlify.com/)
14:26:08	16477/16477	---M-Z	200	added ('OK')	text/css	etag:%22d918561ad887f3b9980fd0d2fe6b07fc-ssl-df%22	https://igbokwefrancis.netlify.com/assets/css/themify-icons.css	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/css/themify-icons.css	(from https://igbokwefrancis.netlify.com/)
14:26:09	31032/31032	---M-Z	200	added ('OK')	text/css	etag:%22d7a8f69092cdbce178089e9671722cf0-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/font-awesome/css/font-awesome.min.css	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/font-awesome/css/font-awesome.min.css	(from https://igbokwefrancis.netlify.com/)
14:26:09	181064/181064	---M-Z	200	added ('OK')	text/css	etag:%22aa506ba28fb4f218d1c1c3f5aac173fc-ssl-df%22	https://igbokwefrancis.netlify.com/assets/css/themes/theme-navyBlue.min.css	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/css/themes/theme-navyBlue.min.css	(from https://igbokwefrancis.netlify.com/)
14:26:10	89663/89663	---M--	200	added ('OK')	image/jpeg	etag:%2241e66604c105239145239526f36d98b1-ssl%22	https://igbokwefrancis.netlify.com/assets/img/home.jpg	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/home.jpg	(from https://igbokwefrancis.netlify.com/)
14:26:10	21608/21608	---M--	200	added ('OK')	image/png	etag:%22eb9dca1a45662e5af5cfd951dd6997f0-ssl%22	https://igbokwefrancis.netlify.com/assets/img/coffee.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/coffee.png	(from https://igbokwefrancis.netlify.com/)
14:26:11	74437/74437	---M--	200	added ('OK')	image/png	etag:%2222e4cb3e44f62231270917ea91171947-ssl%22	https://igbokwefrancis.netlify.com/assets/img/docs.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/docs.png	(from https://igbokwefrancis.netlify.com/)
14:26:11	28163/28163	---M--	200	added ('OK')	image/png	etag:%224491028c1c9894c67770af9d70f6e8df-ssl%22	https://igbokwefrancis.netlify.com/assets/img/glasses.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/glasses.png	(from https://igbokwefrancis.netlify.com/)
14:26:11	47538/47538	---M--	200	added ('OK')	image/png	etag:%22ed1a1374c961abb14219f9bb21caa9c0-ssl%22	https://igbokwefrancis.netlify.com/assets/img/ipad.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/ipad.png	(from https://igbokwefrancis.netlify.com/)
14:26:12	118/118	---M-Z	200	added ('OK')	text/html	etag:%22b64f123412c97e2a97e03917c7c2a3fc-ssl-df%22	https://igbokwefrancis.netlify.com/assets/img/avatar/avatar01.html	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/avatar/avatar01.html	(from https://igbokwefrancis.netlify.com/)
14:26:13	205265/205265	---M--	200	added ('OK')	image/png	etag:%2265b9ffa13787653965d55edcae383997-ssl%22	https://igbokwefrancis.netlify.com/assets/img/service01.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/service01.png	(from https://igbokwefrancis.netlify.com/)
14:26:14	164985/164985	---M--	200	added ('OK')	image/png	etag:%224bfc2dd45a05e59293b3b47658fb41b2-ssl%22	https://igbokwefrancis.netlify.com/assets/img/service02.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/service02.png	(from https://igbokwefrancis.netlify.com/)
14:26:15	2933/2933	---M--	200	added ('OK')	image/png	etag:%220122bd067da6c5bd83199abc1dc223ef-ssl%22	https://igbokwefrancis.netlify.com/assets/img/avatars/avatar01.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/avatars/avatar01.png	(from https://igbokwefrancis.netlify.com/)
14:26:15	150648/150648	---M--	200	added ('OK')	image/png	etag:%22edbef32a1b99347f0b8dd6a04cf79d52-ssl%22	https://igbokwefrancis.netlify.com/assets/img/service04.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/service04.png	(from https://igbokwefrancis.netlify.com/)
14:26:15	293786/293786	---M--	200	added ('OK')	image/png	etag:%22fc15a7be9d92614c986f3bb1a81f04ed-ssl%22	https://igbokwefrancis.netlify.com/assets/img/service03.png	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/img/service03.png	(from https://igbokwefrancis.netlify.com/)
14:26:15	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%2240d5f29aaf9987cd6cc2e647a2972a5e-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/jquery/dist/jquery.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/jquery/dist/jquery.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:15	4495/4495	---M-Z	200	added ('OK')	application/javascript	etag:%22ae563437acb3e0f9e95fcd57dc738fc7-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/jquery.appear/jquery.appear.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/jquery.appear/jquery.appear.js	(from https://igbokwefrancis.netlify.com/)
14:26:16	25005/25005	---M-Z	200	added ('OK')	application/javascript	etag:%22217f68c1af7316be86124a3f719ca82d-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/tether/dist/js/tether.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/tether/dist/js/tether.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:16	46653/46653	---M-Z	200	added ('OK')	application/javascript	etag:%22140917b9fb339648d24c313bce799e64-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/bootstrap/dist/js/bootstrap.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/bootstrap/dist/js/bootstrap.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:16	2441/2441	---M-Z	200	added ('OK')	application/javascript	etag:%22fd710e8ac82034e46b0241e07fcbe974-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/jquery.scrollto/jquery.scrollTo.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/jquery.scrollto/jquery.scrollTo.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:17	1475/1475	---M-Z	200	added ('OK')	application/javascript	etag:%228be97d9c1c84f247e36e0480b1841eed-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/jquery.localscroll/jquery.localScroll.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/jquery.localscroll/jquery.localScroll.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:17	5559/5559	---M-Z	200	added ('OK')	application/javascript	etag:%2283b9711e47d22fbec73e8c57c0db9a1d-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/imagesloaded/imagesloaded.pkgd.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/imagesloaded/imagesloaded.pkgd.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:17	24082/24082	---M-Z	200	added ('OK')	application/javascript	etag:%22c30ba015bc9279875fef2239d118407e-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/masonry-layout/dist/masonry.pkgd.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/masonry-layout/dist/masonry.pkgd.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:18	41953/41953	---M-Z	200	added ('OK')	application/javascript	etag:%22ff3ee6e088c9df42850d472dc8d42d84-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/slick-carousel/slick/slick.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/slick-carousel/slick/slick.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:18	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:%22101ea865b0a3d0d584cae971c7d16ff1-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/waypoints/lib/jquery.waypoints.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/waypoints/lib/jquery.waypoints.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:18	23105/23105	---M-Z	200	added ('OK')	application/javascript	etag:%222d8886496a7c366450c10c09e922b146-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/jquery-validation/dist/jquery.validate.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/jquery-validation/dist/jquery.validate.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:19	3851/3851	---M-Z	200	added ('OK')	application/javascript	etag:%2253de0b60ebf0175c145380de1d81dc22-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/typed.js/dist/typed.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/typed.js/dist/typed.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:19	3990/3990	---M-Z	200	added ('OK')	application/javascript	etag:%22454de743c7f3544f172c2998acb0eb24-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/easy-pie-chart/dist/jquery.easypiechart.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/easy-pie-chart/dist/jquery.easypiechart.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:20	82374/82374	---M-Z	200	added ('OK')	application/javascript	etag:%22ee543037fe47cbee2e718159b6420107-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/snapsvg/dist/snap.svg-min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/snapsvg/dist/snap.svg-min.js	(from https://igbokwefrancis.netlify.com/)
14:26:20	35313/35313	---M-Z	200	added ('OK')	application/javascript	etag:%228e7319dbc93710296c932dafdcf40cff-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/isotope-layout/dist/isotope.pkgd.min.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/isotope-layout/dist/isotope.pkgd.min.js	(from https://igbokwefrancis.netlify.com/)
14:26:20	44371/44371	---M-Z	200	added ('OK')	application/javascript	etag:%220d4cd788eff66197638dc52e6fe9ad9f-ssl-df%22	https://igbokwefrancis.netlify.com/assets/js/core.js	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/js/core.js	(from https://igbokwefrancis.netlify.com/)
14:26:21	78748/78748	---MCZ	200	added ('OK')	text/html	etag:%2215afaf26137f49acf9c1b69b3445c6b7-ssl-df%22	https://igbokwefrancis.netlify.com/assets/fonts/themify9f24.html?-fvbane	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/fonts/themify9f249f24.html	(from https://igbokwefrancis.netlify.com/assets/css/themify-icons.css)
14:26:22	78748/78748	---MCZ	200	added ('OK')	text/html	etag:%2215afaf26137f49acf9c1b69b3445c6b7-ssl-df%22	https://igbokwefrancis.netlify.com/assets/fonts/themifyd41d.html?	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/fonts/themifyd41dd41d.html	(from https://igbokwefrancis.netlify.com/assets/css/themify-icons.css)
14:26:22	56108/56108	---MCZ	200	added ('OK')	text/html	etag:%22d044a1f6c7a0b11286a290ec156d27ed-ssl-df%22	https://igbokwefrancis.netlify.com/assets/fonts/themify9f24-2.html?-fvbane	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/fonts/themify9f24-29f24.html	(from https://igbokwefrancis.netlify.com/assets/css/themify-icons.css)
14:26:23	78584/78584	---MCZ	200	added ('OK')	text/html	etag:%2227156cdc77edc100a7a11fdde6843205-ssl-df%22	https://igbokwefrancis.netlify.com/assets/fonts/themify9f24-3.html?-fvbane	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/fonts/themify9f24-39f24.html	(from https://igbokwefrancis.netlify.com/assets/css/themify-icons.css)
14:26:24	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:%2252694282ca74eeee22385b7b0d056b03-ssl-df%22	https://igbokwefrancis.netlify.com/assets/fonts/themify9f24.svg?-fvbane	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/fonts/themify9f249f24.svg	(from https://igbokwefrancis.netlify.com/assets/css/themify-icons.css)
14:26:24	165742/165742	---MCZ	200	added ('OK')	text/html	etag:%2269f52cc3ee2b8eab53da9c6c72260a0f-ssl-df%22	https://igbokwefrancis.netlify.com/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.html?v=4.7.0	C:/Users/Bolanle%20Christianah/Desktop/aboutme/igbokwefrancis.netlify.com/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e3e6e.html	(from https://igbokwefrancis.netlify.com/assets/plugins/font-awesome/css/font-awesome.min.css)
